account_id,months_retained,final_seats,churned,upgrade_path,plan
1,24,8.0,False,trial_conversion,pro
2,24,3.0,False,trial_conversion,pro
7,8,9.0,True,trial_conversion,team
11,17,2.0,True,trial_conversion,pro
12,3,23.0,True,trial_conversion,team
15,24,4.0,False,trial_conversion,pro
23,12,27.0,True,trial_conversion,pro
26,24,2.0,False,trial_conversion,pro
28,23,5.0,False,trial_conversion,pro
29,21,2.0,False,late_upgrade,pro
30,7,8.0,True,trial_conversion,pro
31,3,1.0,True,trial_conversion,pro
34,4,4.0,True,trial_conversion,pro
35,13,7.0,True,trial_conversion,pro
37,22,13.0,False,late_upgrade,pro
38,22,6.0,False,late_upgrade,pro
41,17,4.0,True,late_upgrade,pro
48,23,26.0,False,trial_conversion,team
50,17,2.0,True,late_upgrade,pro
51,17,10.0,True,trial_conversion,team
52,4,1.0,True,trial_conversion,pro
60,22,3.0,False,trial_conversion,pro
64,13,6.0,False,late_upgrade,pro
65,12,4.0,True,late_upgrade,pro
67,22,4.0,False,trial_conversion,pro
69,22,9.0,False,trial_conversion,team
71,4,3.0,True,trial_conversion,pro
73,22,13.0,False,trial_conversion,pro
74,6,2.0,True,late_upgrade,pro
75,16,11.0,True,trial_conversion,pro
82,1,6.0,True,trial_conversion,team
83,7,14.0,True,trial_conversion,pro
85,22,7.0,False,trial_conversion,team
91,22,5.0,False,trial_conversion,pro
95,22,7.0,False,trial_conversion,team
96,15,4.0,False,late_upgrade,pro
100,22,3.0,False,trial_conversion,team
101,7,1.0,True,trial_conversion,pro
103,21,8.0,True,trial_conversion,pro
104,10,15.0,True,late_upgrade,pro
111,21,11.0,False,trial_conversion,pro
113,21,4.0,False,trial_conversion,pro
115,15,1.0,True,trial_conversion,pro
116,4,9.0,True,trial_conversion,pro
118,1,2.0,True,late_upgrade,pro
121,20,8.0,False,late_upgrade,pro
132,5,11.0,True,trial_conversion,pro
135,4,2.0,True,trial_conversion,pro
138,21,2.0,False,trial_conversion,pro
140,21,4.0,False,trial_conversion,pro
149,10,2.0,True,late_upgrade,pro
156,20,1.0,True,trial_conversion,pro
157,3,1.0,True,trial_conversion,pro
160,20,8.0,False,trial_conversion,pro
161,20,10.0,False,trial_conversion,pro
171,3,9.0,True,trial_conversion,pro
172,13,7.0,True,trial_conversion,team
176,11,8.0,True,trial_conversion,team
177,18,3.0,False,late_upgrade,pro
181,20,3.0,False,trial_conversion,pro
182,20,9.0,False,trial_conversion,pro
186,8,7.0,True,trial_conversion,pro
188,6,2.0,True,late_upgrade,pro
189,8,7.0,True,trial_conversion,pro
190,20,4.0,False,trial_conversion,pro
192,1,1.0,True,trial_conversion,pro
194,2,2.0,True,trial_conversion,team
195,14,2.0,True,late_upgrade,pro
196,17,2.0,True,trial_conversion,pro
197,20,4.0,False,trial_conversion,pro
199,6,3.0,True,late_upgrade,pro
204,19,5.0,False,trial_conversion,pro
208,19,3.0,False,trial_conversion,pro
211,7,2.0,True,trial_conversion,pro
213,18,2.0,True,trial_conversion,pro
221,19,3.0,False,trial_conversion,pro
228,11,9.0,True,trial_conversion,pro
230,19,8.0,False,trial_conversion,pro
231,19,5.0,True,trial_conversion,pro
233,7,8.0,True,trial_conversion,team
234,19,8.0,False,trial_conversion,pro
237,15,13.0,True,trial_conversion,pro
240,19,6.0,False,trial_conversion,pro
242,11,6.0,True,trial_conversion,pro
253,1,8.0,True,late_upgrade,pro
256,7,2.0,True,late_upgrade,pro
