account_id,month_number,month_date,seats,churned_this_month
1,0,2024-01-15,7.0,False
1,1,2024-02-15,7.0,False
1,2,2024-03-15,7.0,False
1,3,2024-04-15,7.0,False
1,4,2024-05-15,7.0,False
1,5,2024-06-15,7.0,False
1,6,2024-07-15,7.0,False
1,7,2024-08-15,7.0,False
1,8,2024-09-15,7.0,False
1,9,2024-10-15,7.0,False
1,10,2024-11-15,7.0,False
1,11,2024-12-15,8.0,False
1,12,2025-01-15,8.0,False
1,13,2025-02-15,8.0,False
1,14,2025-03-15,8.0,False
1,15,2025-04-15,8.0,False
1,16,2025-05-15,8.0,False
1,17,2025-06-15,8.0,False
1,18,2025-07-15,8.0,False
1,19,2025-08-15,8.0,False
1,20,2025-09-15,8.0,False
1,21,2025-10-15,8.0,False
1,22,2025-11-15,8.0,False
1,23,2025-12-15,8.0,False
2,0,2024-01-15,1.0,False
2,1,2024-02-15,1.0,False
2,2,2024-03-15,1.0,False
2,3,2024-04-15,1.0,False
2,4,2024-05-15,1.0,False
2,5,2024-06-15,1.0,False
2,6,2024-07-15,1.0,False
2,7,2024-08-15,1.0,False
2,8,2024-09-15,1.0,False
2,9,2024-10-15,1.0,False
2,10,2024-11-15,1.0,False
2,11,2024-12-15,1.0,False
2,12,2025-01-15,1.0,False
2,13,2025-02-15,1.0,False
2,14,2025-03-15,1.0,False
2,15,2025-04-15,1.0,False
2,16,2025-05-15,1.0,False
2,17,2025-06-15,1.0,False
2,18,2025-07-15,1.0,False
2,19,2025-08-15,1.0,False
2,20,2025-09-15,1.0,False
2,21,2025-10-15,2.0,False
2,22,2025-11-15,2.0,False
2,23,2025-12-15,3.0,False
7,0,2024-01-18,9.0,False
7,1,2024-02-18,9.0,False
7,2,2024-03-18,9.0,False
7,3,2024-04-18,9.0,False
7,4,2024-05-18,9.0,False
7,5,2024-06-18,9.0,False
7,6,2024-07-18,9.0,False
7,7,2024-08-18,9.0,True
11,0,2024-01-21,2.0,False
11,1,2024-02-21,2.0,False
11,2,2024-03-21,2.0,False
11,3,2024-04-21,2.0,False
11,4,2024-05-21,2.0,False
11,5,2024-06-21,2.0,False
11,6,2024-07-21,2.0,False
11,7,2024-08-21,2.0,False
11,8,2024-09-21,2.0,False
11,9,2024-10-21,2.0,False
11,10,2024-11-21,2.0,False
11,11,2024-12-21,2.0,False
11,12,2025-01-21,2.0,False
11,13,2025-02-21,2.0,False
11,14,2025-03-21,2.0,False
11,15,2025-04-21,2.0,False
11,16,2025-05-21,2.0,True
12,0,2024-01-22,23.0,False
12,1,2024-02-22,23.0,False
12,2,2024-03-22,23.0,True
15,0,2024-01-23,2.0,False
15,1,2024-02-23,2.0,False
15,2,2024-03-23,2.0,False
15,3,2024-04-23,2.0,False
15,4,2024-05-23,2.0,False
15,5,2024-06-23,2.0,False
15,6,2024-07-23,2.0,False
