account_id,activated,activation_date,exp1_eligible,exp1_variant
1,False,,False,not_eligible
2,True,2024-01-06,False,not_eligible
3,False,,False,not_eligible
4,True,2024-01-07,False,not_eligible
5,False,,False,not_eligible
6,False,,False,not_eligible
7,False,,False,not_eligible
8,False,,False,not_eligible
9,False,,False,not_eligible
10,False,,False,not_eligible
11,True,2024-01-12,False,not_eligible
12,False,,False,not_eligible
13,False,,False,not_eligible
14,False,,False,not_eligible
15,False,,False,not_eligible
16,True,2024-01-15,False,not_eligible
17,True,2024-01-14,False,not_eligible
18,False,,False,not_eligible
19,True,2024-01-16,False,not_eligible
20,False,,False,not_eligible
21,False,,False,not_eligible
22,False,,False,not_eligible
23,True,2024-01-18,False,not_eligible
24,False,,False,not_eligible
25,False,,False,not_eligible
26,True,2024-01-21,False,not_eligible
27,False,,False,not_eligible
28,True,2024-01-19,False,not_eligible
29,False,,False,not_eligible
30,True,2024-01-20,False,not_eligible
31,False,,False,not_eligible
32,False,,False,not_eligible
33,False,,False,not_eligible
34,True,2024-01-25,False,not_eligible
35,True,2024-01-27,False,not_eligible
36,False,,False,not_eligible
37,True,2024-01-28,False,not_eligible
38,True,2024-02-03,False,not_eligible
39,False,,False,not_eligible
40,False,,False,not_eligible
41,False,,False,not_eligible
42,False,,False,not_eligible
43,False,,False,not_eligible
44,False,,False,not_eligible
45,False,,False,not_eligible
46,False,,False,not_eligible
47,False,,False,not_eligible
48,True,2024-02-10,False,not_eligible
49,True,2024-02-13,False,not_eligible
50,True,2024-02-12,False,not_eligible
51,True,2024-02-12,False,not_eligible
52,True,2024-02-15,False,not_eligible
53,False,,False,not_eligible
54,False,,False,not_eligible
55,False,,False,not_eligible
56,False,,False,not_eligible
57,False,,False,not_eligible
58,False,,False,not_eligible
59,False,,False,not_eligible
60,True,2024-02-20,False,not_eligible
61,False,,False,not_eligible
62,False,,False,not_eligible
63,True,2024-02-25,False,not_eligible
64,False,,False,not_eligible
65,True,2024-02-28,False,not_eligible
66,False,,False,not_eligible
67,True,2024-02-26,False,not_eligible
68,False,,False,not_eligible
69,True,2024-02-27,False,not_eligible
70,True,2024-02-26,False,not_eligible
71,True,2024-02-24,False,not_eligible
72,True,2024-02-25,False,not_eligible
73,True,2024-03-01,False,not_eligible
74,False,,False,not_eligible
75,False,,False,not_eligible
76,False,,False,not_eligible
77,False,,False,not_eligible
78,False,,False,not_eligible
79,False,,False,not_eligible
80,False,,False,not_eligible
81,False,,False,not_eligible
82,False,,False,not_eligible
83,True,2024-03-05,False,not_eligible
84,True,2024-03-06,False,not_eligible
85,True,2024-03-07,False,not_eligible
86,True,2024-03-08,False,not_eligible
87,True,2024-03-08,False,not_eligible
88,False,,False,not_eligible
89,False,,False,not_eligible
90,False,,False,not_eligible
91,True,2024-03-10,False,not_eligible
92,False,,False,not_eligible
93,True,2024-03-13,False,not_eligible
94,False,,False,not_eligible
95,True,2024-03-16,False,not_eligible
96,True,2024-03-14,False,not_eligible
97,False,,False,not_eligible
98,False,,False,not_eligible
99,False,,False,not_eligible
100,False,,False,not_eligible
101,True,2024-03-20,False,not_eligible
102,False,,False,not_eligible
103,True,2024-03-24,False,not_eligible
104,False,,False,not_eligible
105,False,,False,not_eligible
106,False,,False,not_eligible
107,False,,False,not_eligible
108,False,,False,not_eligible
109,True,2024-03-22,False,not_eligible
110,False,,False,not_eligible
111,True,2024-03-27,False,not_eligible
112,False,,False,not_eligible
113,True,2024-03-23,False,not_eligible
114,False,,False,not_eligible
115,True,2024-03-26,False,not_eligible
116,True,2024-03-27,False,not_eligible
117,False,,False,not_eligible
118,False,,False,not_eligible
119,False,,False,not_eligible
120,False,,False,not_eligible
121,False,,False,not_eligible
122,False,,False,not_eligible
123,False,,False,not_eligible
124,True,2024-04-02,False,not_eligible
125,False,,False,not_eligible
126,False,,False,not_eligible
127,False,,False,not_eligible
128,False,,False,not_eligible
129,True,2024-04-08,False,not_eligible
130,False,,False,not_eligible
131,False,,False,not_eligible
132,True,2024-04-12,False,not_eligible
133,False,,False,not_eligible
134,False,,False,not_eligible
135,False,,False,not_eligible
136,False,,False,not_eligible
137,False,,False,not_eligible
138,True,2024-04-13,False,not_eligible
139,False,,False,not_eligible
140,True,2024-04-17,False,not_eligible
141,False,,False,not_eligible
142,False,,False,not_eligible
143,False,,False,not_eligible
144,False,,False,not_eligible
145,False,,False,not_eligible
146,False,,False,not_eligible
147,True,2024-04-17,False,not_eligible
148,False,,False,not_eligible
149,False,,False,not_eligible
150,False,,False,not_eligible
151,False,,False,not_eligible
152,False,,False,not_eligible
153,True,2024-04-21,False,not_eligible
154,False,,False,not_eligible
155,False,,False,not_eligible
156,False,,False,not_eligible
157,True,2024-04-27,False,not_eligible
158,True,2024-04-30,False,not_eligible
159,False,,False,not_eligible
160,True,2024-04-28,False,not_eligible
161,False,,False,not_eligible
162,False,,False,not_eligible
163,False,,False,not_eligible
164,False,,False,not_eligible
165,True,2024-05-06,False,not_eligible
166,False,,False,not_eligible
167,False,,False,not_eligible
168,True,2024-05-08,False,not_eligible
169,False,,False,not_eligible
170,False,,False,not_eligible
171,False,,False,not_eligible
172,True,2024-05-09,False,not_eligible
173,True,2024-05-09,False,not_eligible
174,True,2024-05-10,False,not_eligible
175,False,,False,not_eligible
176,True,2024-05-09,False,not_eligible
177,False,,False,not_eligible
178,False,,False,not_eligible
179,False,,False,not_eligible
180,True,2024-05-14,False,not_eligible
181,True,2024-05-11,False,not_eligible
182,False,,False,not_eligible
183,False,,False,not_eligible
184,False,,False,not_eligible
185,False,,False,not_eligible
186,True,2024-05-15,False,not_eligible
187,False,,False,not_eligible
188,True,2024-05-15,False,not_eligible
